Algorithm,InputType,Size,TimeNs,ExtraMetric
MergeSort,RANDOM,100,31040,comparisons_not_tracked
QuickSort,RANDOM,100,77860,comparisons_not_tracked
MergeSort,RANDOM,500,200540,comparisons_not_tracked
QuickSort,RANDOM,500,61920,comparisons_not_tracked
MergeSort,RANDOM,1000,453480,comparisons_not_tracked
QuickSort,RANDOM,1000,110540,comparisons_not_tracked
MergeSort,RANDOM,5000,1344480,comparisons_not_tracked
QuickSort,RANDOM,5000,479160,comparisons_not_tracked
MergeSort,RANDOM,10000,1334080,comparisons_not_tracked
QuickSort,RANDOM,10000,928760,comparisons_not_tracked
MergeSort,RANDOM,20000,2795120,comparisons_not_tracked
QuickSort,RANDOM,20000,1981300,comparisons_not_tracked
MergeSort,SORTED,100,9020,comparisons_not_tracked
QuickSort,SORTED,100,6040,comparisons_not_tracked
MergeSort,SORTED,500,17200,comparisons_not_tracked
QuickSort,SORTED,500,20380,comparisons_not_tracked
MergeSort,SORTED,1000,49400,comparisons_not_tracked
QuickSort,SORTED,1000,44200,comparisons_not_tracked
MergeSort,SORTED,5000,268740,comparisons_not_tracked
QuickSort,SORTED,5000,209860,comparisons_not_tracked
MergeSort,SORTED,10000,1080580,comparisons_not_tracked
QuickSort,SORTED,10000,409000,comparisons_not_tracked
MergeSort,SORTED,20000,1113420,comparisons_not_tracked
QuickSort,SORTED,20000,1171180,comparisons_not_tracked
MergeSort,REVERSE,100,3980,comparisons_not_tracked
QuickSort,REVERSE,100,4820,comparisons_not_tracked
MergeSort,REVERSE,500,31320,comparisons_not_tracked
QuickSort,REVERSE,500,22500,comparisons_not_tracked
MergeSort,REVERSE,1000,44260,comparisons_not_tracked
QuickSort,REVERSE,1000,49680,comparisons_not_tracked
MergeSort,REVERSE,5000,222420,comparisons_not_tracked
QuickSort,REVERSE,5000,351860,comparisons_not_tracked
MergeSort,REVERSE,10000,291000,comparisons_not_tracked
QuickSort,REVERSE,10000,548320,comparisons_not_tracked
MergeSort,REVERSE,20000,726200,comparisons_not_tracked
QuickSort,REVERSE,20000,957940,comparisons_not_tracked
DeterministicSelect,RANDOM,100,51040,k=50
DeterministicSelect,RANDOM,500,1218200,k=250
DeterministicSelect,RANDOM,1000,294580,k=500
DeterministicSelect,RANDOM,5000,2006700,k=2500
DeterministicSelect,RANDOM,10000,5131520,k=5000
DeterministicSelect,RANDOM,20000,17662660,k=10000
ClosestPair,RANDOM,100,2004180,points=100
ClosestPair,RANDOM,500,1845960,points=500
ClosestPair,RANDOM,1000,2535300,points=1000
ClosestPair,RANDOM,2000,3741080,points=2000
